name,latitude,longitude
Edolo Pumped Storage Plant,46.1708
Roselend Dam,45.6447
Tinton Falls Solar Farm,40.2485,-74.1011
Pilesgrove Solar Farm,39.6138,-75.3087
GTAA Cogeneration Plant,43.6917,-79.6102
McMahon Cogeneration Plant,56.1481,-120.668
La Collette Power Station,49.1748,-2.1088
Phú Mỹ 1,107.037
Alaköprü Dam,36.1558,32.9006
Mississauga Cogeneration Plant,43.698,-79.6425
Turlough Hill Pumped-Storage Scheme,53.0286,-6.40639
Pak Mun Dam,15.2819,105.468
Monju Nuclear Power Plant,35.7403,135.988
Manapouri Power Station,-45.5214,167.278
Shearon Harris Nuclear Power Plant,35.6333,-78.955
Duane Arnold Energy Center,42.1006,-91.7772
Koeberg,-33.6764,18.432
Edersee Dam,51.1833,9.05889
Sardar Sarovar Dam,21.8303,73.7472
Scroby Sands Wind Farm,52.6489,1.79028
Fiddlers Ferry power station,53.372,-2.687
Dungeness A Nuclear Power Station,50.9139,0.963889
Gardiner Dam,51.27,-106.871
Trbovlje Power Station,46.1258,15.0614
Chief Joseph Dam,47.9953,-119.633
Revelstoke Dam,51.0494,-118.194
Mica Dam,52.0778,-118.566
John Day Dam,45.7164,-120.694
Shasta Dam,40.7186,-122.419
Kelly Barnes Dam,34.6003,-83.3622
Limerick Nuclear Power Plant,40.2267,-75.5872
Dounreay,58.5781,-3.75233
Kárahnjúkar Hydropower Plant,64.9333,-15.8
Bruce Nuclear Generating Station,44.3253,-81.5994
Darlington Nuclear Generating Station,43.8728,-78.7197
Generating Station,45.0689,-66.4547
Gentilly Nuclear Generating Station,46.3958,-72.3569
Bohunice Nuclear Power Plant,48.4944,17.6819
Koyna Dam,17.4017,73.7522
Davis-Besse Nuclear Power Station,41.5967,-83.0864
Grande Dixence Dam,46.0806,7.40389
Roxburgh Dam,-45.4758,169.323
Horns Rev 1,55.5297,7.90611
Bakun Dam,2.75639,114.063
Bath County Pumped Storage Station,38.2089,-79.8
Vidraru Dam,45.3662,24.6298
Gezhouba Dam,30.7397,111.272
Guri Dam,7.76444,-63.0
Glenbrook Steel Mill,-37.21,174.74
Fugen Nuclear Power Plant,35.7544,136.016
Lots Road Power Station,51.4779,-0.18127
Gottleuba Dam,50.8344,13.9308
Chernobyl Nuclear Power Plant,51.3896,30.0991
Nalubaale Power Station,0.443611,33.185
FutureGen,39.4978,-88.4414
Lethabo Power Station,-26.7419,27.9775
Oroville Dam,39.5389,-121.486
Diablo Canyon Power Plant,35.2108,-120.856
Chapelcross nuclear power station,55.0157,-3.22605
Browns Ferry Nuclear Plant,34.7039,-87.1186
Mangla Dam,33.1421,73.645
Angra Nuclear Power Plant,-23.0083,-44.4572
Ignalina Nuclear Power Plant,55.6044,26.56
Wylfa Nuclear Power Station,53.4167,-4.48333
Tehri Dam,30.3778,78.4806
Fort Peck Dam,48.0028,-106.416
Loy Yang Power Station,-38.2544,146.577
Salem Nuclear Power Plant,39.4628,-75.5356
Hope Creek Nuclear Generating Station,39.4678,-75.5381
Laguna Verde Nuclear Power Plant,19.7208,-96.4064
Indian Point Energy Center,41.2697,-73.9522
Cooper Nuclear Station,40.3619,-95.6414
Pilgrim Nuclear Generating Station,41.945,-70.5783
Hearn Generating Station,43.6455,-79.3351
Three Mile Island Nuclear Generating Station,40.1539,-76.7247
Ekibastuz GRES-2 Power Station,52.024,75.4762
Arkansas Nuclear One,35.3103,-93.2314
Oyster Creek Nuclear Generating Station,39.8147,-74.205
Mactaquac Dam,45.9542,-66.8683
Zaporizhia Nuclear Power Station,47.5122,34.5858
Parker Dam,34.2964,-114.14
Navajo Generating Station,36.9033,-111.39
San Onofre Nuclear Generating Station,33.3689,-117.555
Dresden Generating Station,41.3897,-88.2681
Perry Nuclear Power Plant,41.8008,-81.1433
Braidwood Generating Station,41.2436,-88.2292
Callaway Plant,38.7617,-91.78
Millstone Nuclear Power Plant,41.3119,-72.1686
Crystal River Nuclear Plant,28.9575,-82.6983
Turkey Point Nuclear Generating Station,25.4342,-80.3306
Brunswick Nuclear Generating Station,33.9583,-78.0103
H. B. Robinson Nuclear Generating Station,34.4028,-80.1583
Byron Nuclear Generating Station,42.0742,-89.2819
James A. FitzPatrick Nuclear Power Plant,43.5233,-76.3983
Beaver Valley Nuclear Generating Station,40.6233,-80.4306
Calvert Cliffs Nuclear Power Plant,38.4319,-76.4422
Ginna Nuclear Generating Station,43.2778,-77.31
Peach Bottom Atomic Power Station,39.7583,-76.2681
Seabrook Station Nuclear Power Plant,42.8989,-70.8508
Edwin I. Hatch Nuclear Power Plant,31.9342,-82.3439
North Anna Nuclear Generating Station,38.0606,-77.7894
Sequoyah Nuclear Generating Station,35.2264,-85.0917
Surry Power Station,37.1656,-76.6978
Watts Bar Nuclear Generating Plant,35.6028,-84.7894
Plant Vogtle,33.1433,-81.7606
Bellefonte Nuclear Generating Station,34.7086,-85.9292
Prairie Island Nuclear Generating Plant,44.6217,-92.6331
Monticello Nuclear Generating Plant,45.3336,-93.8492
Nine Mile Point Nuclear Generating Station,43.5208,-76.4069
Joseph M. Farley Nuclear Generating Station,31.2231,-85.1117
Virgil C. Summer Nuclear Generating Station,34.2986,-81.3147
Columbia Nuclear Generating Station,46.4711,-119.334
Grand Gulf Nuclear Generating Station,32.0067,-91.0483
Pathfinder Nuclear Generating Station,43.6036,-96.6375
Fort Calhoun Nuclear Power Plant,41.5203,-96.0772
River Bend Nuclear Generating Station,30.7567,-91.3333
South Texas Project Electric Generating Station,28.7956,-96.0489
Wolf Creek Generating Station,38.2389,-95.6889
Waterford Nuclear Generating Station,29.9953,-90.4711
Wivenhoe Power Station,-27.3722,152.632
Dez Dam,32.605,48.4633
Clinton Power Station,40.1722,-88.835
Donald C. Cook Nuclear Plant,41.9754,-86.5659
Pacoima Dam,34.3347,-118.396
Inguri Dam,42.76,42.03
Enrico Fermi Nuclear Generating Station,41.9628,-83.2575
Kewaunee Power Station,44.3422,-87.5361
Paks Nuclear Power Plant,46.5725,18.8542
Shippingport Atomic Power Station,40.6211,-80.4353
Te Āpiti Wind Farm,-40.2961,175.808
Bełchatów Power Station,51.2664,19.3306
Jaworzno Power Station,50.2,19.2
Kozienice Power Station,51.6667,21.4667
Kawęczyn Heat Plant,52.2681,21.1286
Ringhals Nuclear Power Plant,57.2597,12.1108
Duck Reach Power Station,-41.4592,147.111
Bay d'Espoir Hydroelectric Power Station,47.9902,-55.8001
Olkiluoto Nuclear Power Plant,61.2369,21.4408
LaSalle County Nuclear Generating Station,41.2456,-88.6692
Quad Cities Generating Station,41.7264,-90.31
Palisades Nuclear Power Plant,42.3228,-86.3144
Point Beach Nuclear Plant,44.2811,-87.5367
Nam Theun 2,17.9969,104.953
New Melones Dam,37.9472,-120.528
Shoreham Nuclear Power Plant,40.9611,-72.865
Cape Wind,41.542,-70.321
St. Lucie Nuclear Power Plant,27.3486,-80.2464
Bhakra Dam,31.4108,76.4333
Rogun Dam,38.6842,69.7738
Karun-3 Dam,31.8022,50.095
Alqueva Dam,38.1975,-7.49639
Friant Dam,37.0006,-119.705
Merowe Dam,18.6689,32.0503
Castaic Dam,34.5192,-118.607
Kozloduy Nuclear Power Plant,43.7461,23.7706
Pine Flat Dam,36.8322,-119.326
San Luis Dam,37.0592,-121.075
Biblis Nuclear Power Plant,49.71,8.41528
Itezhi-Tezhi Dam,-15.7653,26.0181
Bataan Nuclear Power Plant,14.6292,120.314
Barsebäck nuclear power plant,55.7444,12.9208
Dworshak Dam,46.515,-116.296
Tabqa Dam,35.8722,38.5667
Trinity Dam,40.8011,-122.763
Capanda Dam,-9.79472,15.4692
Hazelwood Power Station,-38.2728,146.392
Birecik Dam,37.0533,37.89
Karakaya Dam,38.2278,39.1389
Keban Dam,38.8069,38.7569
Ilısu Dam,37.5242,41.8431
Methil power station,56.1909,-2.99673
Inverkip power station,55.8993,-4.88696
Cockenzie power station,55.9683,-2.97154
Kincardine power station,56.0735,-3.7285
Longannet power station,56.0489,-3.68234
Rancho Seco Nuclear Generating Station,38.3453,-121.122
Yallourn Power Station,-38.1783,146.339
Trojan Nuclear Power Plant,46.0383,-122.885
Forsmark Nuclear Power Plant,60.4033,18.1667
Stateline Wind Farm,46.0372,-118.807
Nam Ngum Dam,18.5308,102.548
Portland Wind Farm,-38.3524,141.587
Codrington Wind Farm,-38.28,141.96
Wattle Point Wind Farm,-35.1225,137.715
Link River Dam,42.2339,-121.802
Senoko Power Station,1.46667,103.8
Marsden B Power Station,-35.8755,174.468
THTR-300,51.6792,7.97167
Idukki Dam,9.84278,76.9761
Kola Nuclear Power Plant,67.4667,32.4667
Lake Chelan Dam,47.8345,-120.012
Hartlepool nuclear power station,54.635,-1.18083
Saxton nuclear facility,40.2269,-78.2419
Dnieper Hydroelectric Station,47.8692,35.0869
Kaiga Generating Station,14.8653,74.4396
Kainji Dam,9.8625,4.61333
Botnur power plant,61.4861,-6.8702
Gemasolar,37.5581,-5.32906
Fisk Generating Station,41.8503,-87.6533
Nuclear Power Demonstration,46.1867,-77.6578
Douglas Point Nuclear Generating Station,44.3333,-81.6
Blowering Dam,-35.4014,148.248
Teruel Power Plant,40.9975,-0.381175
